id,address,bedrooms,bathrooms,monthly_price,ber,category,daft_link,agent_name,has_video,has_virtual_tour,total_images,dublin_subcode
5811438,"Eglinton Place , Eglinton Road, Dublin 4",2.0,2.0,3550,A1,Rent,http://www.daft.ie/for-rent/apartment-2-bed-apartment-eglinton-place-eglinton-road-dublin-4/5811438,Eglinton Place,False,True,18,4.0
5811435,"Eglinton Place , Eglinton Road, Dublin 4",2.0,2.0,4100,A1,Rent,http://www.daft.ie/for-rent/apartment-2-bedroom-duplex-eglinton-place-eglinton-road-dublin-4/5811435,Eglinton Place,False,False,42,4.0
5577192,"Grand Canal Harbour, Grand Canal Place, Dublin 8",1.0,1.0,2065,A3,Rent,http://www.daft.ie/for-rent/apartment-1-bed-grand-canal-harbour-grand-canal-place-dublin-8/5577192,Grand Canal Harbour,False,True,11,8.0
5810496,"Grand Canal Harbour, Grand Canal Place, Dublin 8",1.0,1.0,2095,A3,Rent,http://www.daft.ie/for-rent/apartment-1-bed-twin-bedroom-grand-canal-harbour-grand-canal-place-dublin-8/5810496,Grand Canal Harbour,False,False,8,8.0
5577194,"Grand Canal Harbour, Grand Canal Place, Dublin 8",2.0,2.0,2850,A3,Rent,http://www.daft.ie/for-rent/apartment-2-bed-grand-canal-harbour-grand-canal-place-dublin-8/5577194,Grand Canal Harbour,False,True,15,8.0
5720457,"Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",1.0,,2100,A3,Rent,http://www.daft.ie/for-rent/studio-apartment-studio-griffith-wood-griffith-wood-griffith-avenue-drumcondra-dublin-9/5720457,Jonathan Mulcahy,False,True,20,9.0
3523579,"Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",1.0,1.0,2300,A3,Rent,http://www.daft.ie/for-rent/apartment-1-bedroom-griffith-wood-griffith-wood-griffith-avenue-drumcondra-dublin-9/3523579,Jonathan Mulcahy,False,True,9,9.0
3523582,"Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",2.0,2.0,2900,A3,Rent,http://www.daft.ie/for-rent/apartment-2-bedroom-griffith-wood-griffith-wood-griffith-avenue-drumcondra-dublin-9/3523582,Jonathan Mulcahy,False,True,19,9.0
3523581,"Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",3.0,3.0,4005,A3,Rent,http://www.daft.ie/for-rent/apartment-3-bedroom-griffith-wood-griffith-wood-griffith-avenue-drumcondra-dublin-9/3523581,Jonathan Mulcahy,False,True,18,9.0
5740912,"Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",5.0,3.0,4850,A3,Rent,http://www.daft.ie/for-rent/house-townhouse-griffith-wood-griffith-wood-griffith-avenue-drumcondra-dublin-9/5740912,Jonathan Mulcahy,False,False,23,9.0
6214261,"The Belfry Student Accommodation, 365 Collins Avenue, Dublin 9",2.0,2.0,769,B3,Rent,http://www.daft.ie/for-rent/apartment-twin-room-2-single-beds-available-within-a-2-bed-the-belfry-student-accommodation-365-collins-avenue-dublin-9/6214261,Belfry,False,False,17,9.0
2929971,"O'Callaghan Court , Erne Street Upper , Dublin 2",1.0,1.0,2475,B1,Rent,http://www.daft.ie/for-rent/apartment-1-bedroom-apartment-ocallaghan-court-erne-street-upper-dublin-2/2929971,Izabela,False,True,7,2.0
6116517,"Occu Owenmore, Station Road, Raheny, Dublin 5",1.0,1.0,2175,A2,Rent,http://www.daft.ie/for-rent/apartment-1-bedroom-apartment-occu-owenmore-station-road-raheny-dublin-5/6116517,Occu Leasing Team,False,False,17,5.0
6116518,"Occu Owenmore, Station Road, Raheny, Dublin 5",2.0,2.0,2550,A2,Rent,http://www.daft.ie/for-rent/apartment-two-bed-apartment-occu-owenmore-station-road-raheny-dublin-5/6116518,Occu Leasing Team,False,False,19,5.0
5730448,"Brickfield Square , Brickfield Drive, Dublin 12",1.0,1.0,2200,A2,Rent,http://www.daft.ie/for-rent/apartment-1-bed-brickfield-square-brickfield-drive-dublin-12/5730448,Brickfield Square Team,False,True,15,12.0
5730172,"Brickfield Square , Brickfield Drive, Dublin 12",2.0,2.0,2815,A2,Rent,http://www.daft.ie/for-rent/apartment-2-bed-brickfield-square-brickfield-drive-dublin-12/5730172,Brickfield Square Team,False,True,17,12.0
5608949,"Newmarket Yards, Dublin City Centre, Dublin 8",1.0,1.0,2192,A2,Rent,http://www.daft.ie/for-rent/apartment-1-bed-newmarket-yards-dublin-city-centre-dublin-8/5608949,Newmarket Yards Leasing Team,False,True,21,8.0
5527308,"Newmarket Yards, Dublin City Centre, Dublin 8",1.0,1.0,2295,A2,Rent,http://www.daft.ie/for-rent/apartment-newmarket-yards-1-bed-newmarket-yards-dublin-city-centre-dublin-8/5527308,Newmarket Yards Leasing Team,True,True,17,8.0
